Project name,Client Name,Available Languages,Classification,English Video Link
The Abu Dhabi Plan,Abu Dhabi Executive Council,Arabic & English,TVC,https://vimeo.com/414307456
The Abu Dhabi Plan Reem Cutdown,Abu Dhabi Executive Council,Arabic & English,TVC,https://vimeo.com/204205086
The Abu Dhabi Plan Faisal Cutdown,Abu Dhabi Executive Council,Arabic & English,TVC,https://vimeo.com/204200281
Invest in Sharjah,Invest in Sharjah Office,Arabic & English,TVC,https://vimeo.com/739200966
Invest in Sharjah,Invest in Sharjah Office,Arabic & English,TVC,https://vimeo.com/883724746
Impossible To Define,Dubai Economy and Tourism,Arabic & English,TVC,https://vimeo.com/739262822
Setup Your Business,Dubai Economy and Tourism,Arabic & English,TVC,https://vimeo.com/739286803
Moving Forward,SHUROOQ - Sharjah Investment and Development Authority,Arabic & English,TVC,https://vimeo.com/840513516
Time To Care: Main Film,Ministry of Health & Prevention UAE,Arabic & English,TVC,https://vimeo.com/326285655
Time To Care: Army Cut,Ministry of Health & Prevention UAE,Arabic & English,TVC,https://vimeo.com/732616667
SHAMS,Sharjah Media City,Arabic & English,TVC,https://vimeo.com/490464362
KEEP THE DREAMS ALIVE TVC 01,Ministry of Interior UAE,Arabic only,TVC,https://vimeo.com/739216015
KEEP THE DREAMS ALIVE TVC 02,Ministry of Interior UAE,Arabic & English,TVC,https://vimeo.com/431008060
KEEP THE DREAMS ALIVE TVC 03,Ministry of Interior UAE,Arabic & English,TVC,https://vimeo.com/431009165
LIVE HD,Abu Dhabi Media,Arabic only,TVC,https://vimeo.com/205882460
Inspiring The Inspired,Sharjah Research Technology and Innovation Park (SRTIP),Arabic & English,BRAND FILM,https://vimeo.com/1121147230/bc7e8ebc72
